variant	canonical	count_2026_09_24	status	note
nahin	nahi	956	decided	R2 negative particle
ta'ala	taala	345	decided	R5 + ADR 0004 (capitalise Taala)
kuchh	kuch	344	decided	R3
unhe	unhein	216	decided	R2 oblique pronoun
tumhe	tumhein	158	decided	R2
unhen	unhein	93	decided	R2 oblique pronoun
ne'mat	nemat	45	decided	R5 apostrophe dropped
ne'maton	nematon	13	decided	R5 apostrophe dropped
baa'is	baais	12	decided	R5 apostrophe dropped
in'aam	inaam	11	decided	R5 apostrophe dropped
inhen	inhein	7	decided	R2
ita'at	itaat	5	decided	R5 apostrophe dropped
sha'oor	shaoor	4	decided	R5 apostrophe dropped
tumhen	tumhein	3	decided	R2
ne'maten	nematen	3	decided	R5 apostrophe dropped
qat'an	qatan	2	decided	R5 apostrophe dropped
humein	hamein	1	decided	R2
hitta'	hitta	1	decided	R5 apostrophe dropped
mal'oon	maloon	1	decided	R5 apostrophe dropped
raaina'	raaina	1	decided	R5 apostrophe dropped
unzurna'	unzurna	1	decided	R5 apostrophe dropped
qat'ee	qatee	1	decided	R5 apostrophe dropped
mash'ar-e-haraam	mashar-e-haraam	1	decided	R5 apostrophe dropped
ta'assub	taassub	1	decided	R5 apostrophe dropped
mashee'at	masheeat	1	decided	R5 apostrophe dropped
mas'ala	masala	1	decided	R5 apostrophe dropped
diljam'ee	diljamee	1	decided	R5 apostrophe dropped
mee'aad	meeaad	1	decided	R5 apostrophe dropped
ne'mat-o-fazl	nemat-o-fazl	1	decided	R5 apostrophe dropped
ta'alluq	taalluq	1	decided	R5 apostrophe dropped
laut'ta	lautta	1	decided	R5 apostrophe dropped
manfa'at	manfaat	1	decided	R5 apostrophe dropped
ita'at-guzari	itaat-guzari	1	decided	R5 apostrophe dropped
par	par	1889	keep	par/paar
wala	wala	861	keep	everyday
wale	wale	579	keep	everyday
pas	pas	477	keep	pas (so)/paas (near)
walon	walon	448	keep	everyday
har	har	388	keep	har/haar
ya	ya	362	keep	everyday
aye	aye	310	keep	aye (voc)/aaye (came)
tak	tak	271	keep	everyday
gaye	gaye	244	keep	gaye/gaaye (cow)
hon	hon	166	keep	hon/hoon
den	den	124	keep	den/deen
lo	lo	123	keep	everyday
len	len	104	keep	everyday
ja	ja	96	keep	everyday
pahuncha	pahuncha	90	keep	verb
ata	ata	86	keep	ata (grant)/aata (comes)
amal	amal	77	keep	amal/aamaal (sg/pl)
ghar	ghar	68	keep	ghar/ghaar (cave)
bhai	bhai	64	keep	everyday
hazrat	hazrat	53	keep	hazrat/hazraat (sg/pl)
chal	chal	51	keep	chal/chaal
kam	kam	50	keep	kam/kaam
nikal	nikal	50	keep	nikal/nikaal (intr/caus)
rahen	rahen	49	keep	rahen/raahen
rakh	rakh	46	keep	rakh/raakh
haalat	haalat	45	keep	haalat/haalaat (sg/pl)
guzar	guzar	44	keep	guzar/guzaar
bojh	bojh	32	keep	bojh/boojh
la	la	29	keep	la/laa
mar	mar	28	keep	mar/maar
chand	chand	23	keep	chand (few)/chaand (moon)
paane	paane	23	keep	paane/paani
chalne	chalne	22	keep	chalne/chaalne
bal	bal	21	keep	bal/baal
badal	badal	21	keep	badal/baadal
chalte	chalte	17	keep	chalte/chaalte
tale	tale	15	keep	tale/taale
wade	wade	15	keep	wade?
utar	utar	14	keep	utar/utaar (intr/caus)
mana	mana	13	keep	mana/maana
roze	roze	13	keep	roze/rozee
halat	halat	13	keep	haalat/haalaat
jaa	jaa	3	keep	everyday
bad	bad	2	keep	bad (evil)/baad (after)
ap	ap	1	keep	typo?
parwardigar	parwardigaar	142	decided	owner batch-01 2026-09-25
jawab	jawaab	118	decided	owner batch-01 2026-09-25
aasmanon	aasmaanon	114	decided	owner batch-01 2026-09-25
aasman	aasmaan	97	decided	owner batch-01 2026-09-25
bayan	bayaan	94	decided	owner batch-01 2026-09-25
maloom	maaloom	83	decided	owner batch-01 2026-09-25
farmaya	farmaaya	73	decided	owner batch-01 2026-09-25
wahan	wahaan	66	decided	owner batch-01 2026-09-25
yahan	yahaan	62	decided	owner batch-01 2026-09-25
wada	waada	49	decided	owner batch-01 2026-09-25
insan	insaan	44	decided	owner batch-01 2026-09-25
jahan	jahaan	44	decided	owner batch-01 2026-09-25
nishaaniyan	nishaaniyaan	43	decided	owner batch-01 2026-09-25
zyada	ziyaada	40	decided	owner 2026-09-25: ziyaada and ghalib are the house spellings
banaya	banaaya	38	decided	owner batch-01 2026-09-25
iman	imaan	37	decided	owner batch-01 2026-09-25
darmiyan	darmiyaan	36	decided	owner batch-01 2026-09-25
chahta	chaahta	32	decided	owner batch-01 2026-09-25
nishani	nishaani	32	decided	owner batch-01 2026-09-25
musalmanon	musalmaanon	30	decided	owner batch-01 2026-09-25
parhezgaron	parhezgaaron	29	decided	owner batch-01 2026-09-25
irada	iraada	29	decided	owner batch-01 2026-09-25
jao	jaao	28	decided	owner batch-01 2026-09-25
halaanke	haalaanke	26	decided	owner batch-01 2026-09-25
siwaye	siwaaye	26	decided	owner batch-01 2026-09-25
gunahgaar	gunaahgaar	25	decided	owner batch-01 2026-09-25
yani	yaani	24	decided	owner batch-01 2026-09-25
shaitan	shaitaan	23	decided	owner batch-01 2026-09-25
ziyada	ziyaada	23	decided	owner batch-01 2026-09-25
musalman	musalmaan	23	decided	owner batch-01 2026-09-25
chahe	chaahe	21	decided	owner batch-01 2026-09-25
chahiye	chaahiye	21	decided	owner batch-01 2026-09-25
jihad	jihaad	20	decided	owner batch-01 2026-09-25
chahte	chaahte	19	decided	owner batch-01 2026-09-25
paidaish	paidaaish	19	decided	owner batch-01 2026-09-25
dadon	daadon	19	decided	owner batch-01 2026-09-25
meharban	meharbaan	18	decided	owner batch-01 2026-09-25
